Match_Order,Game_Number,Team_Left,Team_Right,Winner_Match,Left_Bans,Left_Picks,Right_Bans,Right_Picks
33,2,Team Liquid PH,ONIC Philippines,ONIC Philippines,"Fanny, Wanwan 2025, Angela 2024 v2, Kalea, Lapu-Lapu","Uranus, Yi Sun-Shin, Zhuxin, Granger 2024, Khaleed","Arlott, Baxia, Chip, Franco, Lunox","Cici, Lancelot 2021, Pharsa, Harith, Hilda"
33,3,Team Liquid PH,ONIC Philippines,ONIC Philippines,"Fanny, Wanwan 2025, Angela 2024 v2, Lunox, Kalea","Lapu-Lapu, Yi Sun-Shin, Zhuxin, Harith, Gatotkaca","Baxia, Chip, Arlott, Franco, Hayabusa 2021","Phoveus 2024, Lancelot 2021, Pharsa, Bruno 2023, Mathilda"
34,1,Twisted Minds PH,AP.Bren,Twisted Minds PH,"Uranus, Lancelot 2021, Angela 2024 v2, Lapu-Lapu, Yi Sun-Shin","Gloo 2025, Hayabusa 2021, Pharsa, Wanwan 2025, Kalea","Chip, Esmeralda, Zhuxin, Mathilda, Moskov 2023","Phoveus 2024, Baxia, Kimmy 2025, Granger 2024, Khaleed"
34,2,Twisted Minds PH,AP.Bren,Twisted Minds PH,"Wanwan 2025, Chip, Zhuxin, Lapu-Lapu, Arlott","Cici, Baxia, Valentina, Harith, Gatotkaca","Uranus, Kalea, Angela 2024 v2, Selena, Kagura 2021","X.Borg 2023, Lancelot 2021, Pharsa, Granger 2024, Chou"
35,1,Team Liquid PH,TNC Pro Team,Team Liquid PH,"Fanny, Baxia, Phoveus 2024, Uranus, Cici","Arlott, Lancelot 2021, Kimmy 2025, Bruno 2023, Mathilda","Chip, Wanwan 2025, Angela 2024 v2, Hylos, Granger 2024","Lapu-Lapu, Yi Sun-Shin, Zhuxin, Harith, Gatotkaca"
35,2,Team Liquid PH,TNC Pro Team,Team Liquid PH,"Fanny, Lancelot 2021, Wanwan 2025, Esmeralda, Grock 2025","Lapu-Lapu, Baxia, Kimmy 2025, Granger 2024, Novaria","Chip, Arlott, Harith, Mathilda, Franco","Gloo 2025, Yi Sun-Shin, Zhuxin, Cici, Khufra"
36,1,Team Falcons PH,TNC Pro Team,TNC Pro Team,"Fanny, Yi Sun-Shin, Lancelot 2021, Grock 2025, Karrie","Arlott, Baxia, Kimmy 2025, Bruno 2023, Mathilda","Chip, Wanwan 2025, Angela 2024 v2, Franco, Granger 2024","Lapu-Lapu, Fredrinn, Zhuxin, Moskov 2023, Lolita 2023"
36,2,Team Falcons PH,TNC Pro Team,TNC Pro Team,"Lancelot 2021, Wanwan 2025, Fanny, Franco, Cici","Phoveus 2024, Joy, Angela 2024 v2, Granger 2024, Gatotkaca","Baxia, Fredrinn, Chip, Claude 2024, Hilda","Esmeralda, Yi Sun-Shin, Kimmy 2025, Bane 2021, Kalea"
36,3,Team Falcons PH,TNC Pro Team,TNC Pro Team,"Fanny, Yi Sun-Shin, Phoveus 2024, Harith, Claude 2024","Lapu-Lapu, Lancelot 2021, Kimmy 2025, Granger 2024, Chip","Baxia, Fredrinn, Wanwan 2025, Cici, Moskov 2023","Arlott, Hayabusa 2021, Zhuxin, Natan, Grock 2025"
37,1,Twisted Minds PH,Omega Esports,Omega Esports,"Fanny, Chip, Zhuxin, Khaleed, Pharsa","Phoveus 2024, Lancelot 2021, Angela 2024 v2, Karrie, Hylos","Kalea, Wanwan 2025, Cici, Baxia, Bane 2021","Esmeralda, Fredrinn, Kimmy 2025, Harith, Grock 2025"
37,2,Twisted Minds PH,Omega Esports,Omega Esports,"Fanny, Chip, Zhuxin, Khaleed, Grock 2025","Esmeralda, Lancelot 2021, Angela 2024 v2, Moskov 2023, Badang","Kalea, Wanwan 2025, Cici, Baxia, Hylos","Arlott, Fredrinn, Pharsa, Harith, Gatotkaca"
38,1,Aurora Gaming PH,ONIC Philippines,Aurora Gaming PH,"Fanny, Zhuxin, Pharsa, Granger 2024, Luo Yi","Lapu-Lapu, Fredrinn, Kimmy 2025, Wanwan 2025, Hylos","Baxia, Chip, Angela 2024 v2, Gatotkaca, Franco","Phoveus 2024, Lancelot 2021, Valentina, Claude 2024, Kalea"
38,2,Aurora Gaming PH,ONIC Philippines,Aurora Gaming PH,"Wanwan 2025, Lancelot 2021, Fanny, Granger 2024, Arlott","Uranus, Hayabusa 2021, Kagura 2021, Harith, Kalea","Baxia, Chip, Fredrinn, Kimmy 2025, Pharsa","Phoveus 2024, Joy, Zhuxin, Moskov 2023, Gatotkaca"
38,3,Aurora Gaming PH,ONIC Philippines,Aurora Gaming PH,"Fanny, Zhuxin, Wanwan 2025, Pharsa, Luo Yi","Phoveus 2024, Lancelot 2021, Novaria, Granger 2024, Hylos","Baxia, Fredrinn, Angela 2024 v2, Esmeralda, Kimmy 2025","Lapu-Lapu, Yi Sun-Shin, Selena, Harith, Kalea"
39,1,Team Falcons PH,Omega Esports,Omega Esports,"Fanny, Harith, Phoveus 2024, Kimmy 2025, Claude 2024","Arlott, Hayabusa 2021, Zhuxin, Granger 2024, Kalea","Wanwan 2025, Baxia, Fredrinn, Cici, Esmeralda","Uranus, Lancelot 2021, Kagura 2021, Karrie, Grock 2025"
39,2,Team Falcons PH,Omega Esports,Omega Esports,"Harith, Kalea, Phoveus 2024, Valentina, Yve 2024","Arlott, Akai 2022, Zhuxin, Karrie, Grock 2025","Baxia, Mathilda, Wanwan 2025, Chip, Franco","Lapu-Lapu, Fredrinn, Kimmy 2025, Claude 2024, Hylos"
39,3,Team Falcons PH,Omega Esports,Omega Esports,"Harith, Phoveus 2024, Lancelot 2021, Lapu-Lapu, Claude 2024","Arlott, Akai 2022, Zhuxin, Moskov 2023, Badang","Wanwan 2025, Fredrinn, Baxia, Mathilda, Franco","Uranus, Fanny, Valentina, Karrie, Grock 2025"
40,1,Twisted Minds PH,Team Liquid PH,Team Liquid PH,"Chip, Fredrinn, Zhuxin, Granger 2024, Harith","Cici, Baxia, Kimmy 2025, Moskov 2023, Gatotkaca","Wanwan 2025, Lancelot 2021, Kalea, Phoveus 2024, Lapu-Lapu","Arlott, Hayabusa 2021, Pharsa, Claude 2024, Hylos"
40,2,Twisted Minds PH,Team Liquid PH,Team Liquid PH,"Wanwan 2025, Fredrinn, Lancelot 2021, Arlott, Hayabusa 2021","Lapu-Lapu, Yi Sun-Shin, Kalea, Claude 2024, Gatotkaca","Kalea, Kimmy 2025, Baxia, Angela 2024 v2, Phoveus 2024","Cici, Joy, Zhuxin, Harith, Chip"
40,3,Twisted Minds PH,Team Liquid PH,Team Liquid PH,"Chip, Fredrinn, Zhuxin, Pharsa, Granger 2024","Uranus, Hayabusa 2021, Kimmy 2025, Moskov 2023, Gatotkaca","Wanwan 2025, Baxia, Lancelot 2021, Cici, Harith","Phoveus 2024, Yi Sun-Shin, Lunox, Bane 2021, Kalea"
41,1,ONIC Philippines,AP.Bren,AP.Bren,"Chip, Baxia, Phoveus 2024, Bane 2021, Granger 2024","Cici, Lancelot 2021, Luo Yi, Harith, Gatotkaca","Wanwan 2025, Fanny, Kalea, Kimmy 2025, Pharsa","Esmeralda, Yi Sun-Shin, Zhuxin, Ruby, Khaleed"
41,2,ONIC Philippines,AP.Bren,AP.Bren,"Chip, Baxia, Esmeralda, Cici, Ruby","Lapu-Lapu, Lancelot 2021, Kimmy 2025, Granger 2024, Hylos","Wanwan 2025, Fanny, Kalea, Harith, Arlott","Uranus, Yi Sun-Shin, Zhuxin, Obsidia, Khaleed"
42,1,Aurora Gaming PH,Team Liquid PH,Aurora Gaming PH,"Zhuxin, Chip, Pharsa, Granger 2024, Franco","Lapu-Lapu, Yi Sun-Shin, Cecilion, Harith, Grock 2025","Wanwan 2025, Lancelot 2021, Baxia, Novaria, Yve 2024","Cici, Fredrinn, Kimmy 2025, Obsidia, Hylos"
42,2,Aurora Gaming PH,Team Liquid PH,Aurora Gaming PH,"Wanwan 2025, Chip, Lancelot 2021, Mathilda, Franco","Phoveus 2024, Fredrinn, Zhuxin, Moskov 2023, Gatotkaca","Fanny, Harith, Baxia, Novaria, Grock 2025","Arlott, Akai 2022, Yve 2024, Granger 2024, Hylos"
43,1,Twisted Minds PH,Aurora Gaming PH,Aurora Gaming PH,"Fanny, Chip, Harith, Novaria, Pharsa","Lapu-Lapu, Baxia, Kimmy 2025, Obsidia, Guinevere","Wanwan 2025, Kalea, Zhuxin, Mathilda, Franco","Arlott, Akai 2022, Cecilion, Granger 2024, Grock 2025"
43,2,Twisted Minds PH,Aurora Gaming PH,Aurora Gaming PH,"Wanwan 2025, Chip, Grock 2025, Arlott, Lapu-Lapu","Cici, Bane 2021, Lunox, Harith, Gatotkaca","Kalea, Zhuxin, Baxia, Angela 2024 v2, Joy","Phoveus 2024, Lancelot 2021, Kimmy 2025, Granger 2024, Hylos"
44,1,Team Falcons PH,ONIC Philippines,Team Falcons PH,"Fanny, Zhuxin, Kalea, Harith, Cici","Lapu-Lapu, Fredrinn, Kimmy 2025, Granger 2024, Franco","Baxia, Phoveus 2024, Wanwan 2025, Chip, Grock 2025","Arlott, Yi Sun-Shin, Bane 2021, Angela 2024 v2, Gatotkaca"
44,2,Team Falcons PH,ONIC Philippines,Team Falcons PH,"Fanny, Zhuxin, Kalea, Ruby, Bane 2021","Alice 2025, Fredrinn, Pharsa, Wanwan 2025, Hilda","Baxia, Phoveus 2024, Franco, Grock 2025, Kaja","Arlott, Yi Sun-Shin, Valentina, Granger 2024, Gatotkaca"
44,3,Team Falcons PH,ONIC Philippines,Team Falcons PH,"Fanny, Zhuxin, Kalea, Gatotkaca, Hylos","Uranus, Yi Sun-Shin, Pharsa, Bane 2021, Kaja","Baxia, Phoveus 2024, Fredrinn, Harith, Franco","Arlott, Lancelot 2021, Angela 2024 v2, Granger 2024, Khaleed"
45,1,TNC Pro Team,AP.Bren,TNC Pro Team,"Uranus, Baxia, Wanwan 2025, Khaleed, Hylos","Esmeralda, Yi Sun-Shin, Kimmy 2025, Harith, Gatotkaca","Fanny, Grock 2025, Zhuxin, Franco, Kalea","Terizla, Joy, Angela 2024 v2, Cici, Chou"
45,2,TNC Pro Team,AP.Bren,TNC Pro Team,"Baxia, Zhuxin, Wanwan 2025, Esmeralda, Arlott","Lapu-Lapu, Hayabusa 2021, Kimmy 2025, Cici, Mathilda","Fanny, Grock 2025, Uranus, Bane 2021, Kalea","Chou, Yi Sun-Shin, Valentina, Ruby, Khaleed"
45,3,TNC Pro Team,AP.Bren,TNC Pro Team,"Uranus, Baxia, Wanwan 2025, Hylos, Chou","Gloo 2025, Yi Sun-Shin, Kimmy 2025, Harith, Kalea","Fanny, Grock 2025, Zhuxin, Lunox, Arlott","Esmeralda, Joy, Angela 2024 v2, Cici, Khaleed"
46,1,Team Liquid PH,Omega Esports,Team Liquid PH,"Fanny, Grock 2025, Harith, Bruno 2023, Claude 2024","Gloo 2025, Lancelot 2021, Zhuxin, Granger 2024, Gatotkaca","Chip, Yi Sun-Shin, Wanwan 2025, Mathilda, Hylos","Esmeralda, Fredrinn, Kagura 2021, Karrie, Arlott"
46,2,Team Liquid PH,Omega Esports,Team Liquid PH,"Fanny, Grock 2025, Harith, Kalea, Khaleed","Phoveus 2024, Lancelot 2021, Pharsa, Granger 2024, Hylos","Chip, Wanwan 2025, Yi Sun-Shin, Gloo 2025, Yve 2024","Esmeralda, Fredrinn, Zhuxin, Irithel, Arlott"
47,1,Twisted Minds PH,ONIC Philippines,ONIC Philippines,"Fanny, Zhuxin, Kagura 2021, Bane 2021","Uranus, Guinevere, Kagura 2021, Granger 2024, Kalea","Baxia, Akai 2022, Fredrinn, Phoveus 2024, Lapu-Lapu","Arlott, Yi Sun-Shin, Kimmy 2025, Cici, Gatotkaca"
47,2,Twisted Minds PH,ONIC Philippines,ONIC Philippines,"Fanny, Wanwan 2025, Yi Sun-Shin, Harith, Granger 2024","Arlott, Lancelot 2021, Kimmy 2025, Beatrix, Kalea","Fredrinn, Baxia, Akai 2022, Phoveus 2024, Uranus","Lapu-Lapu, Hayabusa 2021, Zhuxin, Bane 2021, Gatotkaca"
48,1,Team Falcons PH,AP.Bren,Team Falcons PH,"Zhuxin, Khaleed, Angela 2024 v2, Chou, Valentina","Uranus, Yi Sun-Shin, Pharsa, Bane 2021, Kaja","Fredrinn, Baxia, Wanwan 2025, Kalea, Ruby","Arlott, Hayabusa 2021, Wu Zetian, Harith, Grock 2025"
48,2,Team Falcons PH,AP.Bren,Team Falcons PH,"Zhuxin, Cici, Angela 2024 v2, Ruby, Bane 2021","Uranus, Lancelot 2021, Pharsa, Moskov 2023, Hilda","Fredrinn, Kalea, Baxia, Grock 2025, Kaja","Esmeralda, Yi Sun-Shin, Kimmy 2025, Harith, Khaleed"
49,1,Aurora Gaming PH,TNC Pro Team,Aurora Gaming PH,"Fanny, Zhuxin, Grock 2025, Lapu-Lapu, Granger 2024","Arlott, Fredrinn, Pharsa, Wanwan 2025, Franco","Baxia, Lancelot 2021, Uranus, Novaria, Cecilion","Phoveus 2024, Yi Sun-Shin, Kimmy 2025, Cici, Gatotkaca"
49,2,Aurora Gaming PH,TNC Pro Team,Aurora Gaming PH,"Wanwan 2025, Grock 2025, Zhuxin, Mathilda, Esmeralda","Uranus, Lancelot 2021, Kimmy 2025, Karrie, Gatotkaca","Harith, Baxia, Granger 2024, Moskov 2023, Lapu-Lapu","Arlott, Yi Sun-Shin, Pharsa, Cici, Akai 2022"
49,3,Aurora Gaming PH,TNC Pro Team,Aurora Gaming PH,"Grock 2025, Yi Sun-Shin, Zhuxin, Arlott, Esmeralda","Lapu-Lapu, Fredrinn, Yve 2024, Wanwan 2025, Badang","Baxia, Harith, Granger 2024, Novaria, Kalea","Uranus, Lancelot 2021, Kimmy 2025, Cici, Franco"
50,1,Aurora Gaming PH,AP.Bren,Aurora Gaming PH,"Zhuxin, Angela 2024 v2, Kimmy 2025, Esmeralda, Arlott","Lapu-Lapu, Fredrinn, Yve 2024, Wanwan 2025, Grock 2025","Baxia, Lancelot 2021, Uranus, Franco, Kalea","Alice 2025, Yi Sun-Shin, Pharsa, Cici, Kaja"
50,2,Aurora Gaming PH,AP.Bren,Aurora Gaming PH,"Wanwan 2025, Zhuxin, Baxia, Uranus, Esmeralda","Alice 2025, Lancelot 2021, Angela 2024 v2, Kalea","Fanny, Harith, Granger 2024, Beatrix, Arlott","Cici, Joy, Kimmy 2025, Ruby, Grock 2025"
50,3,Aurora Gaming PH,AP.Bren,Aurora Gaming PH,"Zhuxin, Angela 2024 v2, Wanwan 2025, Granger 2024, Khaleed","Lapu-Lapu, Akai 2022, Yve 2024, Harith, Franco","Baxia, Lancelot 2021, Yi Sun-Shin, Arlott, Cici","Alice 2025, Fredrinn, Kimmy 2025, Esmeralda, Helcurt 2024"
51,1,Omega Esports,ONIC Philippines,ONIC Philippines,"Yi Sun-Shin, Cici, Zhuxin, Granger 2024, Phoveus 2024","Lapu-Lapu, Fredrinn, Kagura 2021, Wanwan 2025, Gatotkaca","Baxia, Chip, Arlott, Kimmy 2025, Grock 2025","Alice 2025, Lancelot 2021, Pharsa, Obsidia, Kalea"
51,2,Omega Esports,ONIC Philippines,ONIC Philippines,"Yi Sun-Shin, Cici, Zhuxin, Phoveus 2024, Joy","Gloo 2025, Lancelot 2021, Kagura 2021, Harith, Kalea","Chip, Baxia, Arlott, Valentina, Alice 2025","Esmeralda, Fredrinn, Pharsa, Wanwan 2025, Grock 2025"
52,1,Twisted Minds PH,TNC Pro Team,Twisted Minds PH,"Fanny, Cici, Grock 2025, Gatotkaca, Arlott","Lapu-Lapu, Yi Sun-Shin, Kagura 2021, Harith, Hylos","Kimmy 2025, Kalea, Baxia, Pharsa, Phoveus 2024","Alice 2025, Hayabusa 2021, Zhuxin, Wanwan 2025, Jawhead"
52,2,Twisted Minds PH,TNC Pro Team,Twisted Minds PH,"Cici, Wanwan 2025, Fanny, Bane 2021, Gatotkaca","Alice 2025, Hayabusa 2021, Kagura 2021, Granger 2024, Grock 2025","Kimmy 2025, Kalea, Baxia, Yve 2024, Pharsa","Arlott, Yi Sun-Shin, Zhuxin, Natan, Hylos"
52,3,Twisted Minds PH,TNC Pro Team,Twisted Minds PH,"Cici, Wanwan 2025, Fanny, Franco, Gatotkaca","Gloo 2025, Hayabusa 2021, Kagura 2021, Granger 2024, Grock 2025","Kimmy 2025, Kalea, Alice 2025, Yve 2024, Franco","Arlott, Fredrinn, Zhuxin, Natan, Helcurt 2024"
53,1,Aurora Gaming PH,Omega Esports,Aurora Gaming PH,"Fanny, Grock 2025, Pharsa, Zhuxin, Luo Yi","Alice 2025, Yi Sun-Shin, Angela 2024 v2, Harith, Kalea","Baxia, Lancelot 2021, Wanwan 2025, Hylos, Yve 2024","Esmeralda, Fredrinn, Kimmy 2025, Claude 2024, Arlott"
53,2,Aurora Gaming PH,Omega Esports,Aurora Gaming PH,"Fanny, Grock 2025, Pharsa, Lapu-Lapu, Arlott","Alice 2025, Yi Sun-Shin, Novaria, Harith, Gatotkaca","Baxia, Lancelot 2021, Wanwan 2025, Hylos, Yve 2024","Cici, Fredrinn, Kimmy 2025, Granger 2024, Kalea"
54,1,Team Falcons PH,Team Liquid PH,Team Falcons PH,"Zhuxin, Arlott, Kalea, Gatotkaca, Hylos","Esmeralda, Yi Sun-Shin, Pharsa, Cici, Hilda","Wanwan 2025, Uranus, Baxia, Franco, Bane 2021","Lapu-Lapu, Lancelot 2021, Kimmy 2025, Harith, Grock 2025"
54,2,Team Falcons PH,Team Liquid PH,Team Falcons PH,"Arlott, Chip, Zhuxin, Kalea, Grock 2025","Alice 2025, Baxia, Pharsa, Moskov 2023, Franco","Fanny, Uranus, Yi Sun-Shin, Harith, Granger 2024","Lapu-Lapu, Lancelot 2021, Selena, Wanwan 2025, Gatotkaca"
54,3,Team Falcons PH,Team Liquid PH,Team Falcons PH,"Zhuxin, Arlott, Kalea, Franco, Mathilda","Esmeralda, Lancelot 2021, Pharsa, Harith, Kaja","Wanwan 2025, Yi Sun-Shin, Uranus, Chip, Grock 2025","Lapu-Lapu, Joy, Angela 2024 v2, Granger 2024, Baxia"
55,1,TNC Pro Team,ONIC Philippines,ONIC Philippines,"Kalea, Angela 2024 v2, Zhuxin, Khaleed, Wanwan 2025","Alice 2025, Hayabusa 2021, Lunox, Chou, Grock 2025","Baxia, Cici, Arlott, Yve 2024, Kimmy 2025","Uranus, Yi Sun-Shin, Valentina, Ruby, Hilda"
55,2,TNC Pro Team,ONIC Philippines,ONIC Philippines,"Kalea, Zhuxin, Alice 2025, Granger 2024, Harith","Arlott, Yi Sun-Shin, Lunox, Bane 2021, Chip","Baxia, Cici, Grock 2025, Hylos, Akai 2022","Phoveus 2024, Lancelot 2021, Pharsa, Claude 2024, Gatotkaca"
55,3,TNC Pro Team,ONIC Philippines,ONIC Philippines,"Pharsa, Kalea, Gatotkaca, Khaleed, Granger 2024","Gloo 2025, Hayabusa 2021, Kimmy 2025, Wanwan 2025, Grock 2025","Cici, Baxia, Arlott, Alice 2025, Fredrinn","Phoveus 2024, Lancelot 2021, Zhuxin, Claude 2024, Hilda"
56,1,Team Liquid PH,AP.Bren,Team Liquid PH,"Harith, Yi Sun-Shin, Cici, Granger 2024, Grock 2025","Arlott, Akai 2022, Luo Yi, Wanwan 2025, Chip","Baxia, Lancelot 2021, Zhuxin, Valentina, Kimmy 2025","Lapu-Lapu, Fredrinn, Pharsa, Mathilda, Moskov 2023"
56,2,Team Liquid PH,AP.Bren,Team Liquid PH,"Harith, Cici, Pharsa, Kagura 2021, Yve 2024","Alice 2025, Yi Sun-Shin, Lunox, Chou, Kalea","Baxia, Zhuxin, Wanwan 2025, Ruby, Lapu-Lapu","Uranus, Lancelot 2021, Valentina, Granger 2024, Jawhead"
